雨降って地固まる,"After the rain, the ground hardens."
猿も木から落ちる,Even monkeys fall from trees.
石の上にも三年,Perseverance prevails.
井の中の蛙大海を知らず,A frog in a well knows not the great ocean.
七転び八起き,"Fall seven times, stand up eight."
雨降って地固まる,"After the rain, the ground hardens."
猿も木から落ちる,Even monkeys fall from trees.
石の上にも三年,Perseverance prevails.
井の中の蛙大海qを知らず,A frog in a well knows not the great ocean.
七転び八起き,"Fall seven times, stand up eight."
雨降って地固まる,"After the rain, the ground hardens."
猿も木から落ちる,Even monkeys fall from trees.
石の上にも三年,Perseverance prevails.
井の中の蛙大海を知らず,A frog in a well knows not the great ocean.
七転び八起き,"Fall seven times, stand up eight."
雨降って地固まる,"After the rain, the ground hardens."
猿も木から落ちる,Even monkeys fall from trees.
石の上にも三年,Perseverance prevails.
井の中の蛙大海を知らず,A frog in a well knows not the great ocean.
七転び八起き,"Fall seven times, stand up eight."
